Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,credit_duration_ratio
27,female,2,own,little,moderate,1295,18,furniture/equipment,good,71.94444444444444
47,male,2,free,moderate,moderate,12612,36,education,bad,350.3333333333333
30,male,3,own,moderate,little,2249,18,car,good,124.94444444444444
28,male,2,own,little,little,1108,12,repairs,bad,92.33333333333333
56,male,2,own,little,unknown,618,12,radio/TV,good,51.5
54,male,2,own,little,little,1409,12,car,good,117.41666666666667
33,female,1,own,unknown,unknown,797,12,radio/TV,bad,66.41666666666667
20,male,2,rent,unknown,rich,3617,24,furniture/equipment,good,150.70833333333334
54,male,2,own,rich,moderate,1318,12,car,good,109.83333333333333
58,male,2,rent,little,moderate,15945,54,business,bad,295.27777777777777
61,female,2,own,unknown,unknown,2012,12,education,good,167.66666666666666
34,male,2,own,moderate,moderate,2622,18,business,good,145.66666666666666
36,male,2,own,little,moderate,2337,36,radio/TV,good,64.91666666666667
36,male,3,rent,unknown,moderate,7057,20,car,good,352.85
41,male,1,rent,moderate,unknown,1469,24,car,good,61.208333333333336
24,male,2,rent,little,moderate,2323,36,radio/TV,good,64.52777777777777
24,female,2,own,little,unknown,932,6,radio/TV,good,155.33333333333334
35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,213.22222222222223
26,male,2,rent,unknown,unknown,2445,12,car,good,203.75
39,male,3,own,little,moderate,11938,24,vacation/others,bad,497.4166666666667
39,male,3,own,little,unknown,6458,18,car,bad,358.77777777777777
32,male,2,own,little,moderate,6078,12,car,good,506.5
30,female,2,own,unknown,little,7721,24,furniture/equipment,good,321.7083333333333
35,male,2,own,quite rich,moderate,1410,14,business,good,100.71428571428571
31,male,2,own,moderate,moderate,1449,6,business,good,241.5
23,female,2,rent,little,rich,392,15,education,good,26.133333333333333
28,male,1,rent,little,moderate,6260,18,car,good,347.77777777777777
25,female,2,own,little,unknown,7855,36,car,bad,218.19444444444446
35,male,2,own,quite rich,little,1680,12,radio/TV,good,140.0
47,male,2,own,unknown,unknown,3578,48,radio/TV,good,74.54166666666667
30,female,3,own,unknown,little,7174,42,radio/TV,bad,170.8095238095238
27,female,2,rent,unknown,little,2132,10,furniture/equipment,good,213.2
23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,129.72727272727272
36,male,3,own,quite rich,moderate,2366,12,car,good,197.16666666666666
25,female,2,own,little,little,1835,21,radio/TV,bad,87.38095238095238
41,female,3,rent,little,unknown,3868,24,car,good,161.16666666666666
24,male,1,rent,little,unknown,1768,12,furniture/equipment,good,147.33333333333334
63,male,2,free,little,rich,781,10,car,good,78.1
27,female,2,rent,unknown,moderate,1924,18,furniture/equipment,bad,106.88888888888889
30,male,2,own,little,little,2121,12,car,good,176.75
40,male,1,own,little,little,701,12,radio/TV,good,58.416666666666664
30,male,2,own,little,moderate,639,12,repairs,bad,53.25
34,male,3,own,little,moderate,1860,12,car,good,155.0
29,female,2,own,little,little,3499,12,car,bad,291.5833333333333
24,female,2,own,unknown,moderate,8487,48,car,good,176.8125
29,male,2,own,little,little,6887,36,education,bad,191.30555555555554
27,male,1,own,little,unknown,2708,15,furniture/equipment,good,180.53333333333333
47,male,2,free,little,unknown,1984,18,furniture/equipment,good,110.22222222222223
21,female,2,own,moderate,unknown,10144,60,radio/TV,good,169.06666666666666
38,female,2,own,unknown,unknown,1240,12,radio/TV,good,103.33333333333333
27,male,2,own,rich,unknown,8613,27,car,good,319.0
66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,63.833333333333336
35,male,2,own,unknown,moderate,2728,15,radio/TV,good,181.86666666666667
44,female,1,rent,little,rich,1881,12,radio/TV,good,156.75
27,male,0,own,rich,rich,709,6,car,good,118.16666666666667
30,female,3,own,little,moderate,4795,36,radio/TV,good,133.19444444444446
27,male,3,own,little,little,3416,27,radio/TV,good,126.51851851851852
22,male,2,own,little,little,2462,18,furniture/equipment,bad,136.77777777777777
23,female,2,own,little,unknown,2288,21,furniture/equipment,good,108.95238095238095
30,male,2,own,moderate,moderate,3566,48,business,good,74.29166666666667
39,female,2,own,little,little,860,6,car,good,143.33333333333334
51,female,2,own,moderate,unknown,682,12,car,good,56.833333333333336
28,male,2,own,little,little,5371,36,furniture/equipment,good,149.19444444444446
46,male,2,own,rich,unknown,1582,18,radio/TV,good,87.88888888888889
42,male,2,free,moderate,unknown,1346,6,radio/TV,good,224.33333333333334
38,male,2,own,little,unknown,1924,10,radio/TV,good,192.4
24,male,2,own,little,rich,5848,36,radio/TV,good,162.44444444444446
29,female,2,rent,rich,moderate,7758,24,car,good,323.25
36,male,3,rent,moderate,moderate,6967,24,business,good,290.2916666666667
20,female,2,rent,little,little,1282,12,furniture/equipment,bad,106.83333333333333
48,male,2,own,moderate,little,1288,9,repairs,good,143.11111111111111
45,male,1,own,little,little,339,12,education,good,28.25
38,male,2,own,moderate,moderate,3512,24,car,good,146.33333333333334
34,male,1,own,unknown,unknown,1898,6,radio/TV,good,316.3333333333333
36,male,2,own,moderate,unknown,2872,24,radio/TV,good,119.66666666666667
30,female,2,own,little,unknown,1055,18,car,good,58.611111111111114
36,male,2,own,quite rich,unknown,1262,15,domestic appliances,good,84.13333333333334
70,male,3,free,little,moderate,7308,10,car,good,730.8
36,male,2,own,quite rich,unknown,909,36,car,good,25.25
32,male,2,own,quite rich,unknown,2978,6,furniture/equipment,good,496.3333333333333
33,female,2,own,little,little,1131,18,furniture/equipment,bad,62.833333333333336
20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,143.36363636363637
25,female,2,rent,little,unknown,3972,24,furniture/equipment,good,165.5
31,male,2,own,little,moderate,1935,24,business,bad,80.625
33,male,2,rent,little,little,950,15,car,bad,63.333333333333336
26,female,2,own,little,unknown,763,12,furniture/equipment,good,63.583333333333336
34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,86.0
33,male,2,own,little,moderate,1414,8,radio/TV,good,176.75
26,male,2,own,little,little,3414,21,education,bad,162.57142857142858
53,female,3,own,unknown,unknown,7485,30,car,bad,249.5
42,male,2,own,little,little,2577,12,furniture/equipment,good,214.75
52,male,2,own,quite rich,little,338,6,radio/TV,good,56.333333333333336
31,male,3,rent,little,unknown,1963,12,radio/TV,good,163.58333333333334
65,male,2,own,little,little,571,21,car,good,27.19047619047619
28,male,2,own,little,unknown,9572,36,business,bad,265.8888888888889
30,male,3,own,little,moderate,4455,36,business,bad,123.75
40,male,1,own,unknown,little,1647,21,car,bad,78.42857142857143
50,male,2,own,rich,unknown,3777,24,furniture/equipment,good,157.375
36,male,2,own,little,moderate,884,18,car,bad,49.111111111111114
31,male,2,own,little,unknown,1360,15,radio/TV,good,90.66666666666667
74,female,3,free,little,moderate,5129,9,car,bad,569.8888888888889
68,male,0,free,little,moderate,1175,16,car,good,73.4375
20,male,2,own,moderate,little,674,12,radio/TV,bad,56.166666666666664
33,female,2,own,little,moderate,3244,18,furniture/equipment,good,180.22222222222223
54,male,3,own,rich,unknown,4591,24,business,bad,191.29166666666666
34,male,1,free,moderate,moderate,3844,48,business,bad,80.08333333333333
36,male,2,own,little,moderate,3915,27,business,bad,145.0
29,male,2,rent,little,unknown,2108,6,radio/TV,good,351.3333333333333
21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,67.35555555555555
34,female,3,own,little,moderate,1501,9,education,bad,166.77777777777777
28,female,2,own,little,unknown,1382,6,radio/TV,good,230.33333333333334
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,79.25
36,male,2,free,unknown,moderate,2760,24,car,good,115.0
40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,238.72222222222223
52,male,2,own,quite rich,unknown,936,9,education,good,104.0
27,male,1,own,little,little,1168,12,car,good,97.33333333333333
26,male,2,own,little,unknown,5117,27,business,good,189.5185185185185
21,male,2,rent,little,little,902,12,education,bad,75.16666666666667
38,male,1,own,little,unknown,1495,12,car,good,124.58333333333333
38,male,3,free,little,little,10623,30,car,good,354.1
43,male,2,own,little,unknown,1935,12,furniture/equipment,good,161.25
26,male,2,own,little,moderate,1424,12,domestic appliances,good,118.66666666666667
21,male,1,own,little,little,6568,24,business,good,273.6666666666667
55,male,2,own,rich,unknown,1413,12,car,good,117.75
33,male,2,own,unknown,unknown,3074,9,radio/TV,good,341.55555555555554
45,female,1,own,unknown,unknown,3835,36,radio/TV,good,106.52777777777777
50,male,2,own,little,little,5293,27,business,bad,196.03703703703704
66,male,3,own,little,rich,1908,30,business,bad,63.6
51,male,2,own,unknown,unknown,3342,36,radio/TV,good,92.83333333333333
39,female,1,own,unknown,moderate,932,6,education,good,155.33333333333334
31,male,2,own,little,little,3104,18,business,good,172.44444444444446
23,male,2,own,little,rich,3913,36,radio/TV,good,108.69444444444444
24,male,1,rent,little,little,3021,24,furniture/equipment,good,125.875
64,female,2,own,little,unknown,1364,10,car,good,136.4
26,male,1,own,little,moderate,625,12,radio/TV,good,52.083333333333336
23,female,2,rent,unknown,little,1200,12,education,good,100.0
30,male,2,own,little,unknown,707,12,radio/TV,good,58.916666666666664
32,male,2,own,unknown,unknown,2978,24,business,good,124.08333333333333
30,male,2,own,little,unknown,4657,15,car,good,310.46666666666664
27,male,2,own,little,unknown,2613,36,repairs,good,72.58333333333333
27,male,2,own,rich,moderate,10961,48,radio/TV,bad,228.35416666666666
53,male,3,free,little,little,7865,12,furniture/equipment,bad,655.4166666666666
22,male,2,own,little,unknown,1478,9,radio/TV,bad,164.22222222222223
22,male,2,free,little,little,3149,24,furniture/equipment,good,131.20833333333334
26,male,2,own,little,rich,4210,36,radio/TV,bad,116.94444444444444
51,male,1,free,quite rich,unknown,2507,9,car,good,278.55555555555554
35,male,2,own,moderate,unknown,2141,12,radio/TV,good,178.41666666666666
25,male,1,own,little,moderate,866,18,radio/TV,good,48.111111111111114
42,male,1,own,little,unknown,1544,4,radio/TV,good,386.0
30,male,3,own,little,little,1823,24,radio/TV,bad,75.95833333333333
23,male,0,own,unknown,moderate,14555,6,car,bad,2425.8333333333335
61,male,1,rent,moderate,moderate,2767,21,business,bad,131.76190476190476
35,female,2,own,little,unknown,1291,12,radio/TV,good,107.58333333333333
39,male,2,own,little,little,2522,30,radio/TV,good,84.06666666666666
29,female,2,own,unknown,little,915,24,car,bad,38.125
51,male,2,own,little,unknown,1595,6,radio/TV,good,265.8333333333333
24,male,2,free,little,little,4605,48,car,bad,95.9375
27,female,2,own,little,unknown,1185,12,business,good,98.75
35,female,1,own,quite rich,unknown,3447,12,education,good,287.25
25,male,2,own,little,unknown,1258,24,business,good,52.416666666666664
52,male,2,own,little,unknown,717,12,radio/TV,good,59.75
35,male,2,rent,moderate,unknown,1204,6,car,good,200.66666666666666
26,male,2,own,little,rich,1925,24,furniture/equipment,good,80.20833333333333
22,female,2,rent,little,unknown,433,18,radio/TV,bad,24.055555555555557
39,female,1,own,rich,little,666,6,car,good,111.0
46,female,1,own,little,rich,2251,12,furniture/equipment,good,187.58333333333334
24,female,2,own,little,moderate,2150,30,car,bad,71.66666666666667
35,male,2,own,moderate,unknown,4151,24,furniture/equipment,good,172.95833333333334
24,male,2,own,unknown,moderate,2030,9,furniture/equipment,good,225.55555555555554
27,male,1,own,unknown,moderate,7418,60,radio/TV,good,123.63333333333334
35,male,1,own,little,unknown,2684,24,radio/TV,good,111.83333333333333
29,male,2,free,little,little,2149,12,radio/TV,bad,179.08333333333334
23,female,2,own,moderate,unknown,3812,15,car,good,254.13333333333333
57,female,1,own,moderate,unknown,1154,11,radio/TV,good,104.9090909090909
27,male,2,own,little,little,1657,12,furniture/equipment,good,138.08333333333334
55,female,2,own,little,little,1603,24,radio/TV,good,66.79166666666667
36,male,3,free,little,little,5302,18,car,good,294.55555555555554
57,female,1,free,little,unknown,2748,12,education,good,229.0
32,male,1,own,little,unknown,1231,10,car,good,123.1
37,male,2,own,little,moderate,802,15,radio/TV,bad,53.46666666666667
36,male,2,own,unknown,unknown,6304,36,business,good,175.11111111111111
38,female,2,own,little,unknown,1533,24,radio/TV,good,63.875
45,male,3,own,little,little,8978,14,car,bad,641.2857142857143
25,male,2,own,unknown,unknown,999,24,radio/TV,good,41.625
32,male,2,own,unknown,unknown,2662,18,car,good,147.88888888888889
37,female,2,rent,quite rich,unknown,1402,12,furniture/equipment,good,116.83333333333333
36,male,3,free,unknown,moderate,12169,48,car,good,253.52083333333334
28,male,2,own,little,moderate,3060,48,radio/TV,bad,63.75
34,male,1,own,little,little,11998,30,repairs,bad,399.93333333333334
32,male,2,own,little,unknown,2697,9,radio/TV,good,299.6666666666667
26,female,2,own,little,unknown,2404,18,radio/TV,good,133.55555555555554
49,male,1,own,unknown,little,1262,12,furniture/equipment,good,105.16666666666667
32,female,2,own,little,unknown,4611,6,furniture/equipment,bad,768.5
29,male,3,rent,moderate,unknown,1901,24,radio/TV,good,79.20833333333333
23,male,2,rent,rich,unknown,3368,15,car,good,224.53333333333333
50,male,2,own,little,unknown,1574,12,furniture/equipment,good,131.16666666666666
49,male,1,own,unknown,rich,1445,18,radio/TV,good,80.27777777777777
63,male,2,own,unknown,unknown,1520,15,furniture/equipment,good,101.33333333333333
37,male,2,own,moderate,moderate,3878,24,car,good,161.58333333333334
35,female,1,own,little,little,10722,47,car,good,228.12765957446808
26,male,2,own,little,little,4788,48,car,good,99.75
31,male,3,free,moderate,moderate,7582,48,vacation/others,good,157.95833333333334
49,female,2,own,little,moderate,1092,12,radio/TV,good,91.0
48,male,2,own,little,little,1024,24,radio/TV,bad,42.666666666666664
26,male,2,own,little,unknown,1076,12,business,good,89.66666666666667
28,male,3,rent,little,moderate,9398,36,car,bad,261.05555555555554
44,female,3,free,little,little,6419,24,car,good,267.4583333333333
56,male,2,free,little,rich,4796,42,car,good,114.19047619047619
46,male,3,own,unknown,unknown,7629,48,business,good,158.9375
26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,207.5
20,female,2,rent,unknown,unknown,4675,12,car,good,389.5833333333333
45,male,1,own,unknown,unknown,1287,10,car,good,128.7
43,male,2,own,little,unknown,2515,18,furniture/equipment,good,139.72222222222223
32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,130.71428571428572
54,female,0,own,little,unknown,672,6,car,good,112.0
42,female,2,own,little,moderate,3804,36,radio/TV,bad,105.66666666666667
37,male,1,own,unknown,rich,1344,24,car,bad,56.0
49,male,2,own,little,little,1038,10,car,good,103.8
44,male,2,free,quite rich,unknown,10127,48,car,bad,210.97916666666666
33,male,2,own,rich,unknown,1543,6,furniture/equipment,good,257.1666666666667
24,female,1,rent,unknown,unknown,4811,30,car,good,160.36666666666667
33,male,1,own,moderate,little,727,12,radio/TV,bad,60.583333333333336
24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,154.625
22,male,1,rent,little,moderate,276,9,car,good,30.666666666666668
40,male,0,free,unknown,moderate,5381,48,vacation/others,good,112.10416666666667
25,male,2,own,moderate,unknown,5511,24,furniture/equipment,good,229.625
26,female,2,own,little,rich,3749,24,furniture/equipment,good,156.20833333333334
25,male,1,own,little,moderate,685,12,car,bad,57.083333333333336
29,male,1,own,unknown,rich,1494,4,car,good,373.5
31,male,2,own,little,little,2746,36,furniture/equipment,bad,76.27777777777777
38,male,1,own,little,little,708,12,furniture/equipment,good,59.0
48,female,1,own,unknown,moderate,4351,24,furniture/equipment,good,181.29166666666666
32,male,2,own,little,unknown,701,12,education,good,58.416666666666664
27,female,1,own,little,little,3643,15,furniture/equipment,good,242.86666666666667
28,male,3,own,little,moderate,4249,30,car,bad,141.63333333333333
32,male,2,own,little,little,1938,24,radio/TV,bad,80.75
34,male,3,free,little,little,2910,24,car,good,121.25
28,male,2,own,rich,little,2659,18,furniture/equipment,good,147.72222222222223
36,female,2,own,little,unknown,1028,18,car,good,57.111111111111114
39,male,1,own,little,little,3398,8,car,good,424.75
49,male,2,rent,unknown,unknown,5801,12,furniture/equipment,good,483.4166666666667
34,female,2,own,rich,unknown,1525,24,car,good,63.541666666666664
31,male,2,own,little,rich,4473,36,radio/TV,good,124.25
28,male,2,own,little,moderate,1068,6,radio/TV,good,178.0
75,male,3,free,little,little,6615,24,car,good,275.625
30,female,2,own,moderate,unknown,1864,18,education,bad,103.55555555555556
24,female,3,own,moderate,moderate,7408,60,car,bad,123.46666666666667
24,female,1,rent,moderate,unknown,11590,48,car,bad,241.45833333333334
23,male,2,rent,little,little,4110,24,furniture/equipment,bad,171.25
44,male,3,rent,little,little,3384,6,furniture/equipment,bad,564.0
23,female,1,own,little,moderate,2101,13,radio/TV,good,161.6153846153846
24,female,2,rent,unknown,little,1275,15,domestic appliances,bad,85.0
28,male,2,own,little,little,4169,24,furniture/equipment,good,173.70833333333334
31,male,1,own,little,moderate,1521,10,furniture/equipment,good,152.1
24,female,2,free,little,moderate,5743,24,education,good,239.29166666666666
26,female,1,rent,little,little,3599,21,furniture/equipment,good,171.38095238095238
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,178.5
33,male,3,own,little,moderate,4439,18,business,good,246.61111111111111
37,male,1,own,little,rich,3949,10,car,good,394.9
43,female,1,own,little,unknown,1459,15,radio/TV,good,97.26666666666667
23,male,2,own,little,moderate,882,13,radio/TV,good,67.84615384615384
23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,156.58333333333334
34,male,1,own,moderate,unknown,1743,6,business,good,290.5
32,male,2,free,rich,moderate,1136,9,education,bad,126.22222222222223
23,female,2,rent,little,unknown,1236,9,domestic appliances,good,137.33333333333334
29,female,2,own,little,moderate,959,9,furniture/equipment,bad,106.55555555555556
38,male,3,own,unknown,unknown,3229,18,car,good,179.38888888888889
28,male,2,rent,little,little,6199,12,radio/TV,bad,516.5833333333334
46,male,2,free,quite rich,unknown,727,10,education,good,72.7
23,male,1,own,little,moderate,1246,24,car,bad,51.916666666666664
49,male,2,own,unknown,unknown,2331,12,radio/TV,good,194.25
26,male,3,own,little,unknown,4463,36,radio/TV,bad,123.97222222222223
28,male,2,own,little,unknown,776,12,radio/TV,good,64.66666666666667
23,female,2,rent,little,little,2406,30,furniture/equipment,bad,80.2
61,male,2,free,unknown,moderate,1239,18,education,good,68.83333333333333
37,male,3,own,unknown,rich,3399,12,radio/TV,good,283.25
36,female,2,own,little,rich,2247,12,car,good,187.25
21,male,2,rent,little,unknown,1766,6,furniture/equipment,good,294.3333333333333
25,male,0,own,little,little,2473,18,furniture/equipment,bad,137.38888888888889
36,male,2,own,little,unknown,1542,12,business,good,128.5
27,male,2,own,little,unknown,3850,18,car,good,213.88888888888889
22,female,2,rent,little,little,3650,18,furniture/equipment,good,202.77777777777777
42,male,2,own,little,little,3446,36,furniture/equipment,bad,95.72222222222223
40,female,2,rent,little,moderate,3001,18,furniture/equipment,good,166.72222222222223
36,male,2,own,unknown,unknown,3079,36,car,good,85.52777777777777
33,male,2,own,little,unknown,6070,18,radio/TV,good,337.22222222222223
23,female,2,rent,little,unknown,2146,10,furniture/equipment,good,214.6
63,male,3,free,unknown,unknown,13756,60,car,good,229.26666666666668
60,female,3,free,moderate,moderate,14782,60,vacation/others,bad,246.36666666666667
37,female,2,rent,little,little,7685,48,business,bad,160.10416666666666
34,male,2,own,little,unknown,2320,18,radio/TV,good,128.88888888888889
36,male,2,free,unknown,unknown,846,7,radio/TV,good,120.85714285714286
57,male,3,free,little,moderate,14318,36,car,bad,397.72222222222223
52,female,1,own,moderate,unknown,362,6,car,good,60.333333333333336
39,male,2,own,unknown,little,2212,20,furniture/equipment,good,110.6
38,female,3,free,little,moderate,12976,18,car,bad,720.8888888888889
25,female,2,rent,unknown,unknown,1283,22,car,good,58.31818181818182
26,male,2,own,little,rich,1330,12,car,good,110.83333333333333
26,male,1,own,moderate,unknown,4272,30,business,good,142.4
25,female,2,own,little,unknown,2238,18,radio/TV,good,124.33333333333333
21,female,2,rent,unknown,unknown,1126,18,radio/TV,good,62.55555555555556
40,male,3,own,little,moderate,7374,18,furniture/equipment,good,409.6666666666667
27,male,2,own,quite rich,moderate,2326,15,business,good,155.06666666666666
27,female,2,own,little,unknown,1449,9,business,good,161.0
30,male,3,own,little,unknown,1820,18,car,good,101.11111111111111
19,female,1,rent,rich,moderate,983,12,furniture/equipment,good,81.91666666666667
39,male,3,free,little,little,3249,36,car,good,90.25
31,female,2,own,little,little,1957,6,radio/TV,good,326.1666666666667
31,male,3,own,little,unknown,2406,9,furniture/equipment,good,267.3333333333333
32,male,2,rent,moderate,moderate,11760,39,education,good,301.53846153846155
55,female,3,free,little,little,2578,12,furniture/equipment,good,214.83333333333334
46,male,2,own,little,little,2348,36,furniture/equipment,good,65.22222222222223
46,male,2,rent,little,moderate,1223,12,car,bad,101.91666666666667
43,female,1,own,rich,unknown,1516,24,radio/TV,good,63.166666666666664
39,male,2,own,little,unknown,1473,18,radio/TV,good,81.83333333333333
28,male,2,own,unknown,moderate,1887,18,business,good,104.83333333333333
27,male,2,own,little,unknown,8648,24,business,bad,360.3333333333333
27,male,1,own,little,unknown,802,14,car,good,57.285714285714285
43,male,2,own,unknown,moderate,2899,18,car,good,161.05555555555554
22,male,2,own,little,moderate,2039,24,radio/TV,bad,84.95833333333333
43,male,2,own,unknown,unknown,2197,24,car,good,91.54166666666667
27,male,2,own,little,little,1053,15,radio/TV,good,70.2
26,male,3,own,quite rich,unknown,3235,24,radio/TV,good,134.79166666666666
28,male,2,own,quite rich,rich,939,12,car,bad,78.25
20,female,2,own,little,moderate,1967,24,radio/TV,good,81.95833333333333
35,male,3,own,little,unknown,7253,33,car,good,219.78787878787878
42,male,3,own,little,unknown,2292,12,business,bad,191.0
40,male,1,rent,quite rich,unknown,1597,10,car,good,159.7
35,female,2,own,unknown,little,1381,24,car,bad,57.541666666666664
35,male,2,own,little,unknown,5842,36,car,good,162.27777777777777
33,male,1,own,little,little,2579,12,car,bad,214.91666666666666
23,female,2,rent,unknown,little,8471,18,education,good,470.6111111111111
31,female,3,own,quite rich,unknown,2782,21,car,good,132.47619047619048
33,female,2,own,unknown,moderate,1042,18,car,bad,57.888888888888886
20,female,2,rent,rich,unknown,3186,15,car,good,212.4
